rota_principal,sentido,data,dia_da_semana,antecedencia,pax,tkm_comp,capacidade_atual,occ_atual,load_factor_atual,assentos_disponiveis,predict_time_series,predict_eixo_sentido,predict_consenso,pct_atingimento_forecast,pax_faltam_forecast,pax_d5,pax_d4,pax_d3,pax_d2,pax_d1,pax_hoje_parcial,media_d2_d5,aceleracao_abs,aceleracao_pct,tendencia_linear,sinal
BHZ-SJK,SJK-BHZ,2026-04-20,2,11,28,162.72,120,0.23,0.23,92,52,87,70,40.0,42,0,0,0,3,9,0,0.8,8.3,1100.0,1.4,⚪ NORMAL
BHZ-GYN,GYN-BHZ,2026-04-19,1,10,22,122.35,64,0.34,0.26,42,53,56,55,40.0,33,0,0,0,6,3,0,1.5,1.5,100.0,0.8,⚪ NORMAL
PNV-SAO,SAO-PNV,2026-04-18,7,9,12,151.48,45,0.27,0.24,33,31,29,30,40.0,18,0,0,2,1,0,0,0.8,-0.8,-100.0,0.1,⚪ NORMAL
QDC-SAO,QDC-SAO,2026-04-18,7,9,10,119.5,42,0.24,0.22,32,27,23,25,40.0,15,0,3,2,0,0,0,1.3,-1.3,-100.0,-0.2,⚪ NORMAL
QAK-SAO,QAK-SAO,2026-04-22,4,13,15,101.63,44,0.34,0.29,29,48,25,37,40.5,22,0,0,2,3,0,0,1.3,-1.3,-100.0,0.2,⚪ NORMAL
OLP-SAO,SAO-OLP,2026-04-20,2,11,13,77.52,46,0.28,0.22,33,25,39,32,40.6,19,0,0,0,0,1,0,0.0,1.0,,0.1,⚪ NORMAL
MCL-RIO,RIO-MCL,2026-04-19,1,10,16,146.46,60,0.27,0.15,44,26,52,39,41.0,23,0,3,0,6,9,0,2.3,6.8,300.0,1.4,⚪ NORMAL
QAK-SAO,SAO-QAK,2026-04-20,2,11,14,118.83,60,0.23,0.19,46,30,37,34,41.2,20,0,6,3,0,3,0,2.3,0.8,33.3,0.0,⚪ NORMAL
BHZ-CAB,CAB-BHZ,2026-04-18,7,9,63,120.8,102,0.62,0.57,39,186,117,152,41.4,89,3,9,6,5,3,0,5.8,-2.8,-47.8,-0.3,⚪ NORMAL
BHZ-BSB,BSB-BHZ,2026-04-19,1,10,17,148.9,91,0.19,0.19,74,39,43,41,41.5,24,0,0,6,2,0,0,2.0,-2.0,-100.0,0.1,⚪ NORMAL
BHZ-DTI,BHZ-DTI,2026-04-17,6,8,47,81.18,133,0.35,0.3,86,106,117,112,42.0,65,2,1,7,1,6,0,2.8,3.3,118.2,0.5,⚪ NORMAL
BHZ-BSB,BSB-BHZ,2026-04-22,4,13,16,140.71,91,0.18,0.17,75,34,41,38,42.1,22,0,0,6,0,8,2,1.5,6.5,433.3,1.1,⚪ NORMAL
CAB-RIO,RIO-CAB,2026-04-18,7,9,82,65.47,138,0.59,0.55,56,218,168,193,42.5,111,0,0,2,5,11,0,1.8,9.3,528.6,1.8,⚪ NORMAL
CAB-JDF,CAB-JDF,2026-04-22,4,13,36,60.57,89,0.4,0.4,53,64,103,84,42.9,48,1,0,6,1,6,0,2.0,4.0,200.0,0.7,⚪ NORMAL
PNV-SAO,PNV-SAO,2026-04-19,1,10,13,130.13,45,0.29,0.24,32,29,31,30,43.3,17,2,0,0,1,2,0,0.8,1.3,166.7,0.1,⚪ NORMAL
BHZ-CMP,CMP-BHZ,2026-04-17,6,8,34,233.31,43,0.79,0.72,9,68,87,78,43.6,44,0,2,0,0,4,0,0.5,3.5,700.0,0.4,⚪ NORMAL
ANG-BHZ,BHZ-ANG,2026-04-21,3,12,14,115.9,43,0.33,0.25,29,38,25,32,43.8,18,1,0,2,2,3,0,1.3,1.8,140.0,0.4,⚪ NORMAL
CAB-SAO,SAO-CAB,2026-04-19,1,10,42,125.26,131,0.32,0.3,89,83,108,96,43.8,54,8,0,5,3,4,0,4.0,0.0,0.0,-0.3,⚪ NORMAL
CAB-SAO,SAO-CAB,2026-04-20,2,11,39,105.28,135,0.29,0.27,96,71,107,89,43.8,50,0,2,6,0,1,0,2.0,-1.0,-50.0,0.0,⚪ NORMAL
QDC-SAO,SAO-QDC,2026-04-17,6,8,18,159.73,42,0.43,0.36,24,32,50,41,43.9,23,1,0,2,0,4,0,0.8,3.3,433.3,0.4,⚪ NORMAL
ANG-BHZ,ANG-BHZ,2026-04-22,4,13,15,141.97,43,0.35,0.32,28,24,43,34,44.1,19,0,0,2,3,0,0,1.3,-1.3,-100.0,0.2,⚪ NORMAL
ARB-SAO,SAO-ARB,2026-04-20,2,11,44,134.76,99,0.44,0.42,55,71,127,99,44.4,55,0,2,3,0,10,0,1.3,8.8,700.0,1.2,⚪ NORMAL
BHZ-GYN,GYN-BHZ,2026-04-18,7,9,21,139.42,64,0.33,0.29,43,56,37,47,44.7,26,0,3,0,3,3,0,1.5,1.5,100.0,0.4,⚪ NORMAL
GVS-SAO,SAO-GVS,2026-04-21,3,12,27,116.86,56,0.48,0.31,29,63,56,60,45.0,33,0,3,0,3,6,0,1.5,4.5,300.0,0.8,⚪ NORMAL
BHZ-BSB,BHZ-BSB,2026-04-18,7,9,9,141.9,45,0.2,0.2,36,12,27,20,45.0,11,0,0,0,4,0,0,1.0,-1.0,-100.0,0.3,⚪ NORMAL
OLP-SAO,OLP-SAO,2026-04-21,3,12,25,141.46,46,0.54,0.5,21,50,59,55,45.5,30,1,2,0,0,1,0,0.8,0.3,33.3,-0.1,⚪ NORMAL
BHZ-CMP,BHZ-CMP,2026-04-21,3,12,25,205.86,40,0.63,0.56,15,40,70,55,45.5,30,2,4,2,0,0,0,2.0,-2.0,-100.0,-0.5,⚪ NORMAL
QDC-SAO,QDC-SAO,2026-04-21,3,12,16,142.21,45,0.36,0.31,29,27,42,35,45.7,19,0,1,0,0,1,0,0.3,0.8,300.0,0.1,⚪ NORMAL
ANG-BHZ,ANG-BHZ,2026-04-19,1,10,16,167.46,46,0.35,0.29,30,35,34,35,45.7,19,0,0,1,0,0,0,0.3,-0.3,-100.0,0.0,⚪ NORMAL
IPA-VIX,IPA-VIX,2026-04-17,6,8,39,158.57,81,0.48,0.42,42,84,86,85,45.9,46,0,1,3,3,2,0,1.8,0.3,14.3,0.4,⚪ NORMAL
SAO-UDI,SAO-UDI,2026-04-18,7,9,18,129.12,43,0.42,0.4,25,45,32,39,46.2,21,0,2,0,4,2,0,1.5,0.5,33.3,0.4,⚪ NORMAL
BAT-SAO,SAO-BAT,2026-04-17,6,8,64,117.79,136,0.47,0.42,72,141,132,137,46.7,73,1,0,2,2,7,0,1.3,5.8,460.0,0.9,⚪ NORMAL
OLP-SAO,OLP-SAO,2026-04-20,2,11,17,104.55,46,0.37,0.36,29,32,40,36,47.2,19,0,1,0,0,1,0,0.3,0.8,300.0,0.1,⚪ NORMAL
RIO-UDI,UDI-RIO,2026-04-20,2,11,25,148.54,56,0.45,0.39,31,51,55,53,47.2,28,6,0,0,3,3,0,2.3,0.8,33.3,-0.2,⚪ NORMAL
ARB-SAO,ARB-SAO,2026-04-17,6,8,81,157.13,159,0.51,0.44,78,132,209,171,47.4,90,6,6,0,6,5,0,4.5,0.5,11.1,-0.1,⚪ NORMAL
CAB-VIX,CAB-VIX,2026-04-21,3,12,20,120.35,44,0.45,0.45,24,37,47,42,47.6,22,0,0,1,0,0,0,0.3,-0.3,-100.0,0.0,⚪ NORMAL
CPC-FLN,CPC-FLN,2026-04-20,2,11,77,144.5,248,0.31,0.27,171,149,172,161,47.8,84,6,24,16,14,14,0,15.0,-1.0,-6.7,0.4,⚪ NORMAL
BHZ-MCE,BHZ-MCE,2026-04-21,3,12,11,142.9,45,0.24,0.24,34,13,33,23,47.8,12,0,0,2,1,1,0,0.8,0.3,33.3,0.2,⚪ NORMAL
CAB-VIX,VIX-CAB,2026-04-21,3,12,18,65.07,52,0.35,0.25,34,36,37,37,48.6,19,0,0,1,1,0,0,0.5,-0.5,-100.0,0.1,⚪ NORMAL
BHZ-CMP,BHZ-CMP,2026-04-18,7,9,19,137.32,43,0.44,0.4,24,32,45,39,48.7,20,4,0,0,4,6,0,2.0,4.0,200.0,0.5,⚪ NORMAL
BHZ-CAB,BHZ-CAB,2026-04-21,3,12,102,146.86,206,0.5,0.46,104,215,202,209,48.8,107,15,0,0,0,6,0,3.8,2.3,60.0,-1.2,⚪ NORMAL
QDC-SAO,QDC-SAO,2026-04-17,6,8,20,148.85,45,0.44,0.37,25,32,50,41,48.8,21,0,0,2,0,7,0,0.5,6.5,1300.0,0.9,⚪ NORMAL
QAK-SAO,SAO-QAK,2026-04-21,3,12,23,128.9,44,0.52,0.38,21,49,45,47,48.9,24,1,0,1,0,0,0,0.5,-0.5,-100.0,-0.1,⚪ NORMAL
CMP-RIO,CMP-RIO,2026-04-18,7,9,26,83.48,44,0.59,0.54,18,53,53,53,49.1,27,1,0,6,0,5,0,1.8,3.3,185.7,0.5,⚪ NORMAL
MCL-SAO,MCL-SAO,2026-04-17,6,8,44,165.38,64,0.69,0.47,20,96,81,89,49.4,45,3,3,9,0,6,0,3.8,2.3,60.0,0.2,⚪ NORMAL
PAS-SAO,SAO-PAS,2026-04-21,3,12,20,65.8,46,0.43,0.35,26,40,39,40,50.0,20,0,0,3,1,6,1,1.0,5.0,500.0,0.9,⚪ NORMAL
RIO-UDI,UDI-RIO,2026-04-18,7,9,26,155.55,56,0.46,0.4,30,45,58,52,50.0,26,0,6,0,0,6,0,1.5,4.5,300.0,0.4,⚪ NORMAL
MCL-RIO,RIO-MCL,2026-04-17,6,8,33,109.99,58,0.57,0.33,25,87,45,66,50.0,33,0,4,3,4,4,0,2.8,1.3,45.5,0.5,⚪ NORMAL
QDC-SAO,SAO-QDC,2026-04-20,2,11,11,122.35,45,0.24,0.22,34,23,21,22,50.0,11,0,0,1,0,2,0,0.3,1.8,700.0,0.3,⚪ NORMAL
PAS-SAO,PAS-SAO,2026-04-20,2,11,14,74.9,46,0.3,0.27,32,28,28,28,50.0,14,0,1,0,1,0,0,0.5,-0.5,-100.0,0.0,⚪ NORMAL
SAO-VIX,SAO-VIX,2026-04-21,3,12,57,175.06,145,0.39,0.31,88,97,129,113,50.4,56,0,0,2,0,10,2,0.5,9.5,1900.0,1.3,⚪ NORMAL
CGR-SAO,CGR-SAO,2026-04-20,2,11,46,163.77,120,0.38,0.37,74,67,114,91,50.5,45,6,3,3,12,6,0,6.0,0.0,0.0,0.6,⚪ NORMAL
BHZ-CAB,BHZ-CAB,2026-04-18,7,9,80,187.59,171,0.47,0.46,91,162,154,158,50.6,78,2,17,4,0,3,0,5.8,-2.8,-47.8,-1.0,⚪ NORMAL
CMP-RIO,RIO-CMP,2026-04-19,1,10,34,94.34,44,0.77,0.7,10,74,59,67,50.7,33,1,1,0,0,7,0,0.5,6.5,1300.0,0.7,⚪ NORMAL
RIO-UDI,RIO-UDI,2026-04-22,4,13,35,205.56,56,0.63,0.53,21,64,73,69,50.7,34,3,3,0,0,12,0,1.5,10.5,700.0,1.0,⚪ NORMAL
OLP-SAO,SAO-OLP,2026-04-17,6,8,33,153.63,46,0.72,0.68,13,61,69,65,50.8,32,2,0,2,0,0,0,1.0,-1.0,-100.0,-0.3,⚪ NORMAL
BHZ-RIO,RIO-BHZ,2026-04-17,6,8,201,138.41,404,0.5,0.47,203,413,379,396,50.8,195,9,23,25,27,24,0,21.0,3.0,14.3,2.3,⚪ NORMAL
BHZ-CMP,CMP-BHZ,2026-04-21,3,12,25,208.58,43,0.58,0.52,18,29,69,49,51.0,24,0,2,2,6,4,0,2.5,1.5,60.0,0.8,⚪ NORMAL
BHZ-GYN,GYN-BHZ,2026-04-22,4,13,26,113.25,64,0.41,0.39,38,47,55,51,51.0,25,3,0,0,0,15,0,0.8,14.3,1900.0,1.6,⚪ NORMAL
BHZ-GYN,BHZ-GYN,2026-04-19,1,10,24,133.15,64,0.38,0.35,40,42,52,47,51.1,23,0,0,12,3,6,0,3.8,2.3,60.0,1.0,⚪ NORMAL
BHZ-SJK,SJK-BHZ,2026-04-21,3,12,62,258.0,149,0.42,0.41,87,90,152,121,51.2,59,0,4,0,0,7,0,1.0,6.0,600.0,0.7,⚪ NORMAL
BHZ-RAO,BHZ-RAO,2026-04-20,2,11,18,136.23,60,0.3,0.22,42,33,37,35,51.4,17,9,6,12,6,9,0,8.3,0.8,9.1,0.0,⚪ NORMAL
BHZ-GYN,GYN-BHZ,2026-04-21,3,12,29,177.49,64,0.45,0.41,35,44,68,56,51.8,27,0,0,0,0,0,0,0.0,0.0,,0.0,⚪ NORMAL
QDC-SAO,QDC-SAO,2026-04-20,2,11,13,132.44,42,0.31,0.28,29,21,28,25,52.0,12,0,0,2,5,2,0,1.8,0.3,14.3,0.6,⚪ NORMAL
BAT-SAO,BAT-SAO,2026-04-20,2,11,47,88.2,136,0.35,0.31,89,72,108,90,52.2,43,1,5,0,3,9,0,2.3,6.8,300.0,0.9,⚪ NORMAL
BHZ-MCE,MCE-BHZ,2026-04-17,6,8,23,173.33,45,0.51,0.48,22,42,46,44,52.3,21,0,0,4,1,0,0,1.3,-1.3,-100.0,0.1,⚪ NORMAL
SAO-VIX,VIX-SAO,2026-04-17,6,8,81,202.49,145,0.56,0.45,64,148,161,155,52.3,74,3,4,9,4,3,0,5.0,-2.0,-40.0,0.0,⚪ NORMAL
BRU-SAO,SAO-BRU,2026-04-17,6,8,31,59.8,88,0.35,0.29,57,57,60,59,52.5,28,2,1,1,2,3,0,1.5,1.5,100.0,0.2,⚪ NORMAL
CMP-GUR,GUR-CMP,2026-04-20,2,11,10,109.8,45,0.22,0.19,35,32,6,19,52.6,9,2,0,0,2,0,0,1.0,-1.0,-100.0,-0.1,⚪ NORMAL
RAO-RIO,RAO-RIO,2026-04-19,1,10,19,156.74,53,0.36,0.32,34,33,38,36,52.8,17,0,0,6,0,6,0,1.5,4.5,300.0,0.8,⚪ NORMAL
CRG-SAO,CRG-SAO,2026-04-17,6,8,77,54.39,228,0.34,0.3,151,119,171,145,53.1,68,0,3,4,1,14,0,2.0,12.0,600.0,1.7,⚪ NORMAL
RIO-STS,RIO-STS,2026-04-17,6,8,26,174.52,56,0.46,0.45,30,59,39,49,53.1,23,0,0,0,6,9,0,1.5,7.5,500.0,1.6,⚪ NORMAL
MCL-RIO,MCL-RIO,2026-04-17,6,8,39,210.44,60,0.65,0.37,21,74,71,73,53.4,34,0,3,6,0,12,0,2.3,9.8,433.3,1.4,⚪ NORMAL
JDF-SAO,JDF-SAO,2026-04-20,2,11,29,93.69,102,0.28,0.24,73,51,56,54,53.7,25,6,3,1,5,6,0,3.8,2.3,60.0,0.1,⚪ NORMAL
CAB-JDF,JDF-CAB,2026-04-19,1,10,30,59.0,92,0.33,0.3,62,59,51,55,54.5,25,2,0,3,2,7,0,1.8,5.3,300.0,0.8,⚪ NORMAL
BHZ-SAO,SAO-BHZ,2026-04-20,2,11,128,124.42,358,0.36,0.35,230,166,302,234,54.7,106,6,15,31,15,17,0,16.8,0.3,1.5,1.5,⚪ NORMAL
BHZ-VIX,BHZ-VIX,2026-04-21,3,12,138,187.49,211,0.65,0.61,73,247,256,252,54.8,114,6,16,4,5,7,0,7.8,-0.8,-9.7,-0.6,⚪ NORMAL
RIO-VIX,VIX-RIO,2026-04-17,6,8,127,162.88,175,0.73,0.69,48,204,256,230,55.2,103,0,14,48,19,21,0,20.3,0.8,3.7,3.1,⚪ NORMAL
ANG-BHZ,BHZ-ANG,2026-04-22,4,13,16,137.21,46,0.35,0.34,30,45,12,29,55.2,13,3,1,2,5,3,0,2.8,0.3,9.1,0.3,⚪ NORMAL
CMP-RIO,RIO-CMP,2026-04-21,3,12,51,162.78,88,0.58,0.57,37,51,132,92,55.4,41,0,1,2,1,1,0,1.0,0.0,0.0,0.1,⚪ NORMAL
RIO-STS,RIO-STS,2026-04-20,2,11,20,135.45,41,0.49,0.46,21,31,40,36,55.6,16,0,1,0,1,1,0,0.5,0.5,100.0,0.1,⚪ NORMAL
CAB-JDF,JDF-CAB,2026-04-18,7,9,30,68.6,45,0.67,0.54,15,63,45,54,55.6,24,8,4,4,3,3,0,4.8,-1.8,-36.8,-0.7,⚪ NORMAL
BHZ-BSB,BHZ-BSB,2026-04-22,4,13,24,182.82,45,0.53,0.53,21,39,47,43,55.8,19,0,0,2,10,4,0,3.0,1.0,33.3,1.2,⚪ NORMAL
PAS-SAO,SAO-PAS,2026-04-17,6,8,29,113.83,46,0.63,0.59,17,49,54,52,55.8,23,1,2,3,6,2,0,3.0,-1.0,-33.3,0.4,⚪ NORMAL
RIO-STS,STS-RIO,2026-04-17,6,8,41,196.02,41,1.0,0.95,0,77,69,73,56.2,32,0,4,0,0,0,0,1.0,-1.0,-100.0,-0.3,⚪ NORMAL
PAS-SAO,PAS-SAO,2026-04-21,3,12,25,105.06,46,0.54,0.53,21,45,43,44,56.8,19,1,1,5,2,2,0,2.3,-0.3,-11.1,0.2,⚪ NORMAL
PAS-SAO,PAS-SAO,2026-04-17,6,8,25,90.78,46,0.54,0.43,21,48,40,44,56.8,19,1,1,3,6,4,1,2.8,1.3,45.5,0.7,⚪ NORMAL
MCE-RIO,RIO-MCE,2026-04-17,6,8,57,47.67,90,0.63,0.56,33,109,90,100,57.0,43,2,4,1,8,5,0,3.8,1.3,33.3,0.7,⚪ NORMAL
CPC-FLN,CPC-FLN,2026-04-17,6,8,176,221.76,250,0.7,0.61,74,297,318,308,57.1,132,8,22,16,22,20,0,17.0,3.0,17.6,1.6,⚪ NORMAL
BHZ-BSB,BSB-BHZ,2026-04-21,3,12,23,209.94,45,0.51,0.5,22,34,45,40,57.5,17,0,2,4,2,2,0,2.0,0.0,0.0,0.3,⚪ NORMAL
MCE-SAO,MCE-SAO,2026-04-17,6,8,29,162.93,44,0.66,0.65,15,65,34,50,58.0,21,3,2,0,2,3,0,1.8,1.3,71.4,0.0,⚪ NORMAL
SAO-VIX,VIX-SAO,2026-04-20,2,11,69,173.13,145,0.48,0.42,76,87,150,119,58.0,50,2,2,3,10,4,0,4.3,-0.3,-5.9,0.8,⚪ NORMAL
RAO-RIO,RAO-RIO,2026-04-21,3,12,18,118.62,53,0.34,0.3,35,25,37,31,58.1,13,0,0,0,3,0,0,0.8,-0.8,-100.0,0.2,⚪ NORMAL
BHZ-DTI,BHZ-DTI,2026-04-18,7,9,32,93.93,46,0.7,0.62,14,53,56,55,58.2,23,2,0,1,6,1,0,2.3,-1.3,-55.6,0.3,⚪ NORMAL
CMP-GUR,CMP-GUR,2026-04-20,2,11,14,85.97,90,0.16,0.12,76,27,21,24,58.3,10,0,2,6,1,0,0,2.3,-2.3,-100.0,-0.1,⚪ NORMAL
CAB-SAO,CAB-SAO,2026-04-17,6,8,72,158.75,133,0.54,0.5,61,120,125,123,58.5,51,2,1,8,3,3,0,3.5,-0.5,-14.3,0.3,⚪ NORMAL
BHZ-RIO,RIO-BHZ,2026-04-20,2,11,199,150.02,364,0.55,0.52,165,210,464,337,59.1,138,10,9,51,36,33,0,26.5,6.5,24.5,4.9,⚪ NORMAL
MCE-SAO,MCE-SAO,2026-04-19,1,10,19,101.79,44,0.43,0.42,25,34,29,32,59.4,13,1,0,4,2,8,0,1.8,6.3,357.1,1.1,⚪ NORMAL
MCE-SAO,MCE-SAO,2026-04-21,3,12,19,138.11,44,0.43,0.42,25,25,38,32,59.4,13,0,1,0,1,2,0,0.5,1.5,300.0,0.3,⚪ NORMAL
CAB-JDF,CAB-JDF,2026-04-16,5,7,12,51.9,45,0.27,0.24,33,26,13,20,60.0,8,0,2,0,0,3,0,0.5,2.5,500.0,0.3,⚪ NORMAL
BHZ-VIX,VIX-BHZ,2026-04-21,3,12,226,241.05,457,0.49,0.47,231,292,455,374,60.4,148,8,12,33,22,19,1,18.8,0.3,1.3,2.1,⚪ NORMAL
QAK-SAO,SAO-QAK,2026-04-16,5,7,23,144.33,44,0.52,0.45,21,38,38,38,60.5,15,1,0,0,3,5,0,1.0,4.0,400.0,0.7,⚪ NORMAL
CPC-FLN,CPC-FLN,2026-04-21,3,12,115,167.8,247,0.47,0.39,132,173,203,188,61.2,73,14,18,26,25,15,0,20.8,-5.8,-27.7,0.6,⚪ NORMAL
BHZ-GYN,GYN-BHZ,2026-04-16,5,7,35,125.21,64,0.55,0.46,29,58,56,57,61.4,22,6,0,3,6,6,0,3.8,2.3,60.0,0.4,⚪ NORMAL
BHZ-VIX,VIX-BHZ,2026-04-20,2,11,162,233.02,256,0.63,0.6,94,216,309,263,61.6,101,0,8,5,5,4,0,4.5,-0.5,-11.1,0.3,⚪ NORMAL
BHZ-DTI,DTI-BHZ,2026-04-21,3,12,29,63.9,91,0.32,0.28,62,45,48,47,61.7,18,5,3,3,6,2,0,4.3,-2.3,-52.9,-0.2,⚪ NORMAL
SAO-VIX,SAO-VIX,2026-04-17,6,8,90,207.96,145,0.62,0.55,55,116,174,145,62.1,55,3,4,2,5,6,0,3.5,2.5,71.4,0.5,⚪ NORMAL
MCE-SAO,SAO-MCE,2026-04-17,6,8,28,155.76,44,0.64,0.61,16,49,40,45,62.2,17,1,2,0,1,0,0,1.0,-1.0,-100.0,-0.2,⚪ NORMAL
RIO-UDI,RIO-UDI,2026-04-20,2,11,35,205.59,56,0.63,0.56,21,52,60,56,62.5,21,0,0,9,0,6,0,2.3,3.8,166.7,0.8,⚪ NORMAL
CRG-SAO,CRG-SAO,2026-04-20,2,11,86,55.1,228,0.38,0.33,142,118,155,137,62.8,51,3,3,18,12,8,0,9.0,-1.0,-11.1,1.3,⚪ NORMAL
GYN-SAO,SAO-GYN,2026-04-21,3,12,29,150.83,60,0.48,0.38,31,39,53,46,63.0,17,0,0,3,9,3,0,3.0,0.0,0.0,1.0,⚪ NORMAL
CGR-SAO,CGR-SAO,2026-04-21,3,12,52,164.3,120,0.43,0.42,68,75,89,82,63.4,30,3,9,15,3,9,0,7.5,1.5,20.0,0.4,⚪ NORMAL
QAK-SAO,QAK-SAO,2026-04-21,3,12,35,177.21,60,0.58,0.53,25,46,64,55,63.6,20,0,0,3,15,6,0,4.5,1.5,33.3,1.8,⚪ NORMAL
CGR-SAO,SAO-CGR,2026-04-17,6,8,72,181.29,120,0.6,0.56,48,97,129,113,63.7,41,0,0,6,3,0,6,2.3,-2.3,-100.0,0.2,⚪ NORMAL
MCL-RIO,MCL-RIO,2026-04-16,5,7,37,134.93,58,0.64,0.45,21,49,66,58,63.8,21,0,0,3,4,2,0,1.8,0.3,14.3,0.5,⚪ NORMAL
ANG-BHZ,BHZ-ANG,2026-04-20,2,11,18,143.51,46,0.39,0.34,28,21,35,28,64.3,10,1,2,0,0,1,0,0.8,0.3,33.3,-0.1,⚪ NORMAL
MCE-SAO,MCE-SAO,2026-04-20,2,11,20,116.9,44,0.45,0.44,24,29,33,31,64.5,11,3,3,0,0,0,0,1.5,-1.5,-100.0,-0.6,⚪ NORMAL
RIO-UDI,UDI-RIO,2026-04-16,5,7,42,223.61,56,0.75,0.66,14,60,70,65,64.6,23,3,0,0,0,9,0,0.8,8.3,1100.0,0.8,⚪ NORMAL
BHZ-VIX,BHZ-VIX,2026-04-17,6,8,309,246.18,441,0.7,0.67,132,360,595,478,64.6,169,5,13,30,19,12,0,16.8,-4.8,-28.4,1.3,⚪ NORMAL
CMP-RIO,CMP-RIO,2026-04-16,5,7,44,157.22,44,1.0,0.92,0,57,78,68,64.7,24,0,0,1,1,4,0,0.5,3.5,700.0,0.6,⚪ NORMAL
BHZ-GYN,BHZ-GYN,2026-04-21,3,12,39,135.0,64,0.61,0.54,25,51,68,60,65.0,21,9,0,15,6,9,0,7.5,1.5,20.0,0.4,⚪ NORMAL
ANG-BHZ,ANG-BHZ,2026-04-18,7,9,15,147.43,43,0.35,0.32,28,36,9,23,65.2,8,1,0,1,0,0,0,0.5,-0.5,-100.0,-0.1,⚪ NORMAL
BHZ-BSB,BSB-BHZ,2026-04-18,7,9,15,137.03,45,0.33,0.33,30,15,31,23,65.2,8,0,0,6,2,6,0,2.0,4.0,200.0,0.9,⚪ NORMAL
BHZ-MCE,MCE-BHZ,2026-04-22,4,13,15,123.7,45,0.33,0.28,30,16,30,23,65.2,8,2,3,0,0,0,0,1.3,-1.3,-100.0,-0.5,⚪ NORMAL
BRU-SAO,BRU-SAO,2026-04-18,7,9,17,62.19,46,0.37,0.33,29,12,40,26,65.4,9,1,0,1,2,0,0,1.0,-1.0,-100.0,0.0,⚪ NORMAL
BHZ-CAB,BHZ-CAB,2026-04-19,1,10,106,127.15,250,0.42,0.4,144,162,157,160,66.3,54,2,10,4,15,10,0,7.8,2.3,29.0,1.4,⚪ NORMAL
BHZ-MCE,BHZ-MCE,2026-04-16,5,7,22,164.81,45,0.49,0.44,23,31,34,33,66.7,11,0,0,2,4,3,0,1.5,1.5,100.0,0.7,⚪ NORMAL
BRU-SAO,BRU-SAO,2026-04-17,6,8,38,72.64,88,0.43,0.39,50,37,77,57,66.7,19,0,1,1,6,0,0,2.0,-2.0,-100.0,0.3,⚪ NORMAL
OLP-SAO,OLP-SAO,2026-04-17,6,8,52,95.94,92,0.57,0.43,40,75,81,78,66.7,26,1,2,4,9,5,0,4.0,1.0,25.0,1.0,⚪ NORMAL
BHZ-MCE,MCE-BHZ,2026-04-20,2,11,18,139.68,45,0.4,0.35,27,22,31,27,66.7,9,0,0,2,2,6,0,1.0,5.0,500.0,0.9,⚪ NORMAL
BHZ-CAB,BHZ-CAB,2026-04-16,5,7,211,248.99,308,0.69,0.65,97,260,372,316,66.8,105,2,0,4,0,5,0,1.5,3.5,233.3,0.4,⚪ NORMAL
QAK-SAO,QAK-SAO,2026-04-20,2,11,25,151.7,44,0.57,0.51,19,30,44,37,67.6,12,1,2,6,0,0,0,2.3,-2.3,-100.0,-0.3,⚪ NORMAL
QAK-SAO,SAO-QAK,2026-04-17,6,8,42,188.42,60,0.7,0.61,18,64,59,62,67.7,20,3,6,3,9,6,0,5.3,0.8,14.3,0.6,⚪ NORMAL
PNV-SAO,PNV-SAO,2026-04-16,5,7,17,153.43,44,0.39,0.32,27,30,19,25,68.0,8,0,1,4,5,0,0,2.5,-2.5,-100.0,0.3,⚪ NORMAL
MCE-SAO,MCE-SAO,2026-04-22,4,13,17,96.96,44,0.39,0.38,27,24,26,25,68.0,8,0,0,1,1,0,0,0.5,-0.5,-100.0,0.1,⚪ NORMAL
JDF-SAO,SAO-JDF,2026-04-17,6,8,64,177.57,120,0.53,0.49,56,81,105,93,68.8,29,15,15,12,15,12,0,14.3,-2.3,-15.8,-0.4,⚪ NORMAL
RIO-UDI,RIO-UDI,2026-04-21,3,12,60,224.1,101,0.59,0.46,41,65,108,87,69.0,27,2,0,1,1,1,0,1.0,0.0,0.0,-0.1,⚪ NORMAL
CMP-RIO,RIO-CMP,2026-04-20,2,11,40,134.72,60,0.67,0.64,20,35,80,58,69.0,18,0,0,0,0,9,0,0.0,9.0,,1.2,⚪ NORMAL
RIO-UDI,UDI-RIO,2026-04-17,6,8,57,285.22,101,0.56,0.46,44,56,107,82,69.5,25,1,5,5,2,4,0,3.3,0.8,23.1,0.2,⚪ NORMAL
CGR-SAO,SAO-CGR,2026-04-21,3,12,62,156.32,120,0.52,0.5,58,75,103,89,69.7,27,27,15,12,9,18,0,15.8,2.3,14.3,-1.6,⚪ NORMAL
QDC-SAO,SAO-QDC,2026-04-16,5,7,21,156.76,45,0.47,0.42,24,26,34,30,70.0,9,1,0,2,3,1,0,1.5,-0.5,-33.3,0.2,⚪ NORMAL
BHZ-CAB,CAB-BHZ,2026-04-21,3,12,237,294.81,485,0.49,0.48,248,233,440,337,70.3,100,6,13,56,15,21,0,22.5,-1.5,-6.7,2.1,⚪ NORMAL
BHZ-GYN,GYN-BHZ,2026-04-17,6,8,46,166.4,64,0.72,0.63,18,65,63,64,71.9,18,0,0,9,9,6,0,4.5,1.5,33.3,1.4,⚪ NORMAL
