rota_principal,sentido,data,dia_da_semana,antecedencia,pax,tkm_comp,capacidade_atual,occ_atual,load_factor_atual,assentos_disponiveis,predict_time_series,predict_eixo_sentido,predict_consenso,pct_atingimento_forecast,pax_faltam_forecast,pax_d5,pax_d4,pax_d3,pax_d2,pax_d1,pax_hoje_parcial,media_d2_d5,aceleracao_abs,aceleracao_pct,tendencia_linear,sinal
JDF-SAO,JDF-SAO,2026-04-19,1,10,17,136.19,120,0.14,0.12,103,64,52,58,29.3,41,3,3,6,15,3,0,6.8,-3.8,-55.6,0.8,🔵 DESACELERANDO
SAO-VIX,SAO-VIX,2026-04-22,4,13,29,139.52,99,0.29,0.24,70,101,94,98,29.6,69,0,0,12,2,0,0,3.5,-3.5,-100.0,0.1,🔵 DESACELERANDO
BHZ-SJK,BHZ-SJK,2026-04-22,4,13,23,140.9,60,0.38,0.35,37,87,67,77,29.9,54,6,0,3,6,0,0,3.8,-3.8,-100.0,-0.4,🔵 DESACELERANDO
SAO-SJP,SJP-SAO,2026-04-20,2,11,82,103.75,326,0.25,0.23,244,249,269,259,31.7,177,4,1,9,12,0,0,6.5,-6.5,-100.0,0.2,🔵 DESACELERANDO
RIO-VIX,RIO-VIX,2026-04-18,7,9,36,110.84,93,0.39,0.37,57,92,128,110,32.7,74,0,0,20,12,0,0,8.0,-8.0,-100.0,0.8,🔵 DESACELERANDO
BAT-SAO,BAT-SAO,2026-04-19,1,10,41,87.29,136,0.3,0.24,95,122,128,125,32.8,84,2,0,6,8,1,0,4.0,-3.0,-75.0,0.4,🔵 DESACELERANDO
RIO-VIX,VIX-RIO,2026-04-19,1,10,52,108.94,180,0.29,0.25,128,141,168,155,33.5,103,11,3,5,11,3,0,7.5,-4.5,-60.0,-0.5,🔵 DESACELERANDO
RIO-UDI,RIO-UDI,2026-04-19,1,10,19,182.64,56,0.34,0.28,37,60,50,55,34.5,36,0,6,3,6,0,0,3.8,-3.8,-100.0,0.0,🔵 DESACELERANDO
RIO-UDI,UDI-RIO,2026-04-21,3,12,18,161.84,56,0.32,0.26,38,47,52,50,36.0,32,0,3,0,9,0,0,3.0,-3.0,-100.0,0.4,🔵 DESACELERANDO
BHZ-SAO,BHZ-SAO,2026-04-21,3,12,124,181.31,313,0.4,0.38,189,297,345,321,38.6,197,10,10,24,16,10,0,15.0,-5.0,-33.3,0.4,🔵 DESACELERANDO
GVS-SAO,GVS-SAO,2026-04-21,3,12,24,146.94,64,0.38,0.22,40,67,54,61,39.3,37,0,0,6,24,3,0,7.5,-4.5,-60.0,2.0,🔵 DESACELERANDO
SAO-UDI,SAO-UDI,2026-04-17,6,8,29,232.56,43,0.67,0.65,14,70,76,73,39.7,44,0,6,6,4,0,0,4.0,-4.0,-100.0,-0.1,🔵 DESACELERANDO
BHZ-CAB,BHZ-CAB,2026-04-22,4,13,108,173.0,193,0.56,0.54,85,283,247,265,40.8,157,4,0,0,10,0,0,3.5,-3.5,-100.0,0.1,🔵 DESACELERANDO
CDG-RIO,CDG-RIO,2026-04-17,6,8,51,68.0,92,0.55,0.55,41,154,83,119,42.9,68,2,1,14,1,1,0,4.5,-3.5,-77.8,-0.1,🔵 DESACELERANDO
MCL-SAO,MCL-SAO,2026-04-21,3,12,38,155.95,64,0.59,0.36,26,95,77,86,44.2,48,9,9,24,12,6,0,13.5,-7.5,-55.6,-0.2,🔵 DESACELERANDO
JDF-SAO,SAO-JDF,2026-04-21,3,12,32,141.53,102,0.31,0.29,70,61,83,72,44.4,40,1,2,5,16,0,0,6.0,-6.0,-100.0,0.8,🔵 DESACELERANDO
GVS-SAO,SAO-GVS,2026-04-20,2,11,26,122.09,64,0.41,0.31,38,46,57,52,50.0,26,0,0,9,12,0,0,5.3,-5.3,-100.0,0.8,🔵 DESACELERANDO
BHZ-RAO,RAO-BHZ,2026-04-21,3,12,25,163.94,60,0.42,0.31,35,39,59,49,51.0,24,9,6,6,0,0,0,5.3,-5.3,-100.0,-1.6,🔵 DESACELERANDO
MCL-RIO,RIO-MCL,2026-04-21,3,12,38,181.4,60,0.63,0.37,22,65,80,73,52.1,35,0,3,12,3,0,0,4.5,-4.5,-100.0,0.0,🔵 DESACELERANDO
CPC-FLN,FLN-CPC,2026-04-17,6,8,158,193.21,245,0.64,0.55,87,322,281,302,52.3,144,6,28,36,39,13,0,27.3,-14.3,-52.3,1.7,🔵 DESACELERANDO
GVS-SAO,GVS-SAO,2026-04-20,2,11,31,124.25,56,0.55,0.37,25,47,61,54,57.4,23,6,12,21,21,3,0,15.0,-12.0,-80.0,0.2,🔵 DESACELERANDO
BHZ-BSB,BHZ-BSB,2026-04-17,6,8,25,232.83,91,0.27,0.27,66,32,53,43,58.1,18,2,2,10,0,0,0,3.5,-3.5,-100.0,-0.4,🔵 DESACELERANDO
